id,country,total_cases,total_deaths,total_recovered,active_cases
1,"""USA""",95331020,1065555 ,90631084,3634381
2,"""India""",44339429,527332 ,43712218,99879
3,"""France""",34354612,153501 ,33713323,487788
4,"""Brazil""",34279785,682560 ,33175714,421511
5,"""Germany""",31808179,146504 ,30633800,1027875
6,"""UK""",23460787,187018 ,23103639,170130
7,"""S. Korea""",22240331,26044 ,20026325,2187962
8,"""Italy""",21650468,174722 ,20696936,778810
9,"""Russia""",19117343,383560 ,18284586,449197
10,"""Japan""",16921653,36780 ,14875073,2009800
11,"""Turkey""",16671848,100400 ,0,0
12,"""Spain""",13314764,112128 ,13009611,193025
13,"""Vietnam""",11383819,43105 ,10072457,1268257
14,"""Australia""",9912866,13356 ,9718592,180918
15,"""Argentina""",9633732,129566 ,9415671,88495
16,"""Netherlands""",8372961,22574 ,8278697,71690
17,"""Iran""",7506614,143387 ,7233648,129579
18,"""Mexico""",6974996,329081 ,6201013,444902
19,"""Indonesia""",6315557,157377 ,6107680,50500
20,"""Colombia""",6293130,141406 ,6116269,35455
21,"""Poland""",6143682,116881 ,5335969,690832
22,"""Portugal""",5391747,24772 ,5291677,75298
23,"""Taiwan""",5043275,9634 ,4595130,438511
24,"""Ukraine""",5035828,108780 ,4915726,11322
25,"""Austria""",4862223,19342 ,4770961,71920
26,"""DPRK""",4772813,74 ,4772739,0
27,"""Malaysia""",4757752,36145 ,4682689,38918
28,"""Greece""",4654737,32028 ,4556655,66054
29,"""Thailand""",4634180,32030 ,4582529,19621
30,"""Israel""",4623052,11525 ,4596770,14757
31,"""Belgium""",4466095,32436 ,4348895,84764
32,"""Chile""",4442073,60202 ,4340850,41021
33,"""Canada""",4135607,43505 ,3984434,107668
34,"""Peru""",4061357,215268 ,3751630,94459
35,"""Czechia""",4024851,40719 ,3968287,15845
36,"""South Africa""",4009730,102066 ,3901332,6332
37,"""Switzerland""",3993681,14121 ,3896018,83542
38,"""Philippines""",3855804,61357 ,3759176,35271
39,"""Romania""",3186995,66490 ,3045991,74514
40,"""Denmark""",3083891,6846 ,3061309,15736
41,"""Sweden""",2558943,19651 ,2515288,24004
42,"""Iraq""",2454213,25338 ,2420666,8209
43,"""Serbia""",2243706,16536 ,2125623,101547
44,"""Hungary""",2021648,47083 ,1924022,50543
45,"""Bangladesh""",2009797,29315 ,1953368,27114
46,"""Slovakia""",1831052,20333 ,1802928,7791
47,"""Singapore""",1814915,1578 ,1733285,80052
48,"""Jordan""",1731549,14105 ,1713255,4189
49,"""Georgia""",1723087,16883 ,1637293,68911
50,"""New Zealand""",1715165,2600 ,1686160,26405
51,"""Ireland""",1653576,7742 ,1633518,12316
52,"""Pakistan""",1566236,30552 ,1521803,13881
53,"""Norway""",1458952,3890 ,1452782,2280
54,"""Hong Kong""",1458238,9605 ,1281248,167385
55,"""Kazakhstan""",1382809,13676 ,1347699,21434
56,"""Morocco""",1263985,16270 ,1247051,664
57,"""Finland""",1250557,5467 ,1202972,42118
58,"""Bulgaria""",1233470,37541 ,1179833,16096
59,"""Croatia""",1206587,16571 ,1183487,6529
60,"""Lebanon""",1203404,10599 ,1087587,105218
61,"""Tunisia""",1141773,29209 ,0,0
62,"""Slovenia""",1112481,6756 ,1086394,19331
63,"""Cuba""",1109992,8530 ,1101053,409
64,"""Lithuania""",1103882,9257 ,1068238,26387
65,"""Bolivia""",1092520,22168 ,1012166,58186
66,"""Guatemala""",1085118,19339 ,1049292,16487
67,"""Costa Rica""",1040663,8808 ,860711,171144
68,"""UAE""",1009776,2341 ,988147,19288
69,"""Nepal""",995241,11992 ,978901,4348
70,"""Belarus""",994037,7118 ,985592,1327
71,"""Ecuador""",988583,35812 ,943490,9281
72,"""Uruguay""",975264,7429 ,966171,1664
73,"""Mongolia""",973272,2179 ,952126,18967
74,"""Panama""",966779,8444 ,949784,8551
75,"""Latvia""",889636,5920 ,865280,18436
76,"""Saudi Arabia""",812624,9277 ,799691,3656
77,"""Azerbaijan""",808569,9785 ,795110,3674
78,"""Paraguay""",714340,19448 ,691542,3350
79,"""Bahrain""",669392,1513 ,664198,3681
80,"""Sri Lanka""",669033,16654 ,651155,1224
81,"""Kuwait""",656393,2562 ,653046,785
82,"""Dominican Republic""",635461,4384 ,629525,1552
83,"""Palestine""",616364,5390 ,591823,19151
84,"""Myanmar""",614573,19437 ,593185,1951
85,"""Estonia""",595228,2642 ,524990,67596
86,"""Cyprus""",571994,1149 ,562543,8302
87,"""Moldova""",561196,11693 ,504142,45361
88,"""Venezuela""",541322,5786 ,532639,2897
89,"""Egypt""",515645,24613 ,442182,48850
90,"""Libya""",506515,6436 ,499368,711
91,"""Ethiopia""",492960,7571 ,471285,14104
92,"""Réunion""",450430,855 ,418572,31003
93,"""Honduras""",450393,10965 ,0,0
94,"""Armenia""",430361,8643 ,412661,9057
95,"""Qatar""",423772,681 ,418191,4900
96,"""Oman""",397574,4260 ,384669,8645
97,"""Bosnia and Herzegovina""",393235,15980 ,0,0
98,"""Kenya""",338042,5673 ,332221,148
99,"""North Macedonia""",337513,9440 ,324633,3440
100,"""Zambia""",332264,4016 ,327359,889
101,"""Botswana""",325850,2777 ,322955,118
102,"""Albania""",325736,3576 ,317233,4927
103,"""Luxembourg""",284931,1114 ,275850,7967
104,"""Montenegro""",272929,2766 ,266001,4162
